Series,Subseries,Box,Folder,Title,Structured Date,Date Qualifier,Start Date,End Date,Range Qualifier,Textual Date,Physical Description,Reel,First Frame,Last Frame,Frames,Title File,First File,Last File,Files,Processing Note,Contents
1,,6,13,S. W. Burnham,,,1898,1921,,,,6,148,165,17,149,150,166,17,,
1,,6,14,Ernest D. Burton,,,1913,1915,,,,6,166,182,16,167,168,183,16,,
1,,6,14,Richard Burton,,,1913,1915,,,,6,183,200,17,184,185,201,17,,
1,,6,15,Albert Alfred Buss,,,1926,1927,,,".25""",6,201,224,23,202,203,225,23,,
1,,6,16,C. P. Butler,1910,,,,,,,6,225,231,6,226,227,232,6,,
1,,6,17,Howard Russell Butler,,,1925,1926,,,,6,232,250,18,233,234,251,18,,
1,,6,18,W. G. Cady,,,1905,1923,,,,6,251,254,3,252,253,255,3,,
1,,6,19,California Institute of Technology,,,1919,1925,,,"1.5""",6,255,495,240,256,257,496,240,,
1,,7,1,Caltech Associates,,,1926,1936,,,"1""",6,496,618,122,497,498,620,123,,
1,,7,2,"Caltech budgets, costs and estimates",,,1928,1937,,,"2""",6,619,973,353,621,622,990,369,,
1,,7,3,Caltech construction,,,1928,1936,,,"1.5""",7,0,500,500,21,22,544,523,,
1,,8,1,"Caltech 200"" tools and equipment",,,1928,1936,,,"2.75""",7,501,925,424,545,546,971,426,,
1,,8,2,"Caltech correspondence on 200""",,,,,,,"3""",,,,,,,,,Folder split between two reels,
1,,,,"Caltech correspondence on 200"" A-K",,,1903,1936,,,,7,926,1077,150,972,973,1122,150,Folder split between two reels,
1,,,,"Caltech correspondence on 200"" L-Z",,,1897,1936,,,,8,20,437,417,21,22,438,417,Folder split between two reels,
1,,9,1,"Correspondence with press and publishers regarding 200""",,,1928,1936,,,"1""",8,438,575,137,439,440,576,137,,
1,,9,2,"Correspondence with railroads regarding 200""",,,1934,1936,,,".25""",8,576,607,31,577,578,608,31,,
1,,9,3,"Miscellaneous articles regarding 200"" for publication",1928,,,,,,"1.25""",,,,,,,,,Omitted from microfilm,
1,,9,4,"Correspondence with San Diego regarding 200""",,,1930,1936,,,".25""",8,608,685,77,609,610,686,77,,
1,,9,5,California Jewish Voice,1914,,,,,,,8,686,687,1,687,688,688,1,,
1,,9,6,W. W. Campbell,,,1900,1935,,,"1.5""",,,,,,,,,Folder split between two reels,
1,,,,W. W. Campbell,,,1900,1918,,,,8,688,1297,609,689,690,1298,609,Folder split between two reels,
1,,,,W. W. Campbell,,,1909,1935,,,,9,20,261,241,21,22,262,241,Folder split between two reels,
1,,10,1,Walter B. Cannon,,,1916,1917,,,,9,262,279,17,263,264,280,17,,
1,,10,2,William Carty,1905,,,,,,,9,280,281,1,281,282,282,1,,
1,,10,3,Prof. Edward Capps,,,1905,1907,,,,9,282,294,12,283,284,295,12,,
1,,10,4,G. W. Carman,1903,,,,,,,9,295,298,3,296,297,299,3,,
1,,10,5,Andrew Carnegie,,,1903,1932,,,".75""",9,299,430,131,300,301,432,132,,
1,,10,6,Carnegie Institution of Washington,,,1904,1936,,,".5""",9,431,470,39,433,434,472,39,,
1,,10,7,Ford A. Carpenter,,,1914,1927,,,".25""",9,471,524,53,473,474,526,53,,
1,,10,8,F. I. Carpenter,,,1903,1923,,,,9,525,532,7,527,528,534,7,,
1,,10,9,J. A. Carroll,,,1924,1933,,,,9,533,543,10,535,536,545,10,,
1,,10,10,Prof. Edna Carter,1932,,,,,,,9,544,547,3,546,547,549,3,,
1,,10,11,John J. Carty,,,1916,1933,,,"1.5""",9,548,825,277,550,551,827,277,,
1,,10,12,Leona Carver,1905,,,,,,,9,826,827,1,828,829,829,1,,
1,,10,13,Alex Caskey,1906,,,,,,,9,828,830,2,830,831,832,2,,
1,,10,14,J. McKeen Cattell,,,1900,1927,,,"1""",9,831,966,134,833,834,967,134,,
1,,11,1,T. C. Chamberlain,,,1898,1928,,,".25""",10,20,66,46,21,22,67,46,,
1,,11,2,"Harry Chandler, Los Angeles Times",,,1927,1934,,,,10,67,77,10,68,69,78,10,,
1,,11,3,W. E. Chandler,1901,,,,,,,10,78,79,1,79,80,80,1,,
1,,11,4,C. A. Chant,1909,,,,,,,10,80,81,1,81,82,82,1,,
1,,11,5,Prof. S. Chapman,,,1935,1936,,,,10,82,86,4,83,84,87,4,,
1,,11,6,Charles M. Childs,1905,,,,,,,10,87,89,2,88,89,90,2,,
1,,11,7,Prof. Russell Chittenden,,,1910,1917,,,".25""",10,90,138,48,91,92,139,48,,
1,,11,8,W. H. Christie,,,1903,1904,,,,10,139,143,4,140,141,144,4,,
1,,11,9,Prof. Chrystal,,,1903,1904,,,,10,144,146,2,145,146,147,2,,
1,,11,10,City Planning Committee,,,1921,1928,,,,10,147,303,156,148,149,305,157,,
1,,11,11,F. M. Clapp,,,1920,1933,,,,10,304,312,8,306,307,314,8,,
1,,11,12,J. M. Clarke,,,1916,1922,,,,10,313,347,34,315,316,349,34,,
1,,11,13,Dugald Clerk,,,1918,1929,,,,10,348,350,2,350,351,352,2,,
1,,11,14,Agnes M. Clerke,,,1903,1906,,,,10,351,376,25,353,354,378,25,,
1,,11,15,Prof. H. E. Clifford,,,1902,1926,,,,10,377,398,21,379,380,400,21,,
1,,11,16,W. E. Clough,1899,,,,,,,10,399,400,1,401,402,402,1,,
1,,11,17,Samuel T. Clover,,,1924,1926,,,,10,401,408,7,403,404,410,7,,
1,,11,18,Henry Ives Cobb,1897,,,,,,,10,409,429,20,411,412,431,20,,
1,,11,19,Howard E. Coffin,,,1916,1917,,,".5""",10,430,462,32,432,433,464,32,,
1,,11,20,W. A. Cogshall,,,1904,1905,,,,10,463,473,10,465,466,475,10,,
1,,11,21,Frank W. Collins,,,1905,1906,,,,10,474,481,7,476,477,483,7,,
1,,11,22,Karl T. Compton,,,1930,1933,,,,10,482,490,8,484,485,492,8,,
1,,11,23,George C. Comstock,,,1899,1915,,,".5""",10,491,567,76,493,494,569,76,,
1,,11,24,Edwin G. Conklin,,,1910,1926,,,"1""",10,568,721,153,570,571,724,154,,
1,,11,25,Mary and Leander Conklin,,,1899,1930,,,,10,722,736,14,725,726,739,14,,
1,,11,26,William Conklin,,,1905,1907,,,,10,737,751,14,740,741,754,14,,
1,,11,27,W. M. Cook,1899,,,,,,,10,752,755,3,755,756,758,3,,
1,,11,28,Dr. Donald Cooksey,,,1931,1933,,,,10,756,764,8,759,760,767,8,,
1,,11,29,D. W. Coolidge,1906,,,,,,,10,765,766,1,768,769,769,1,,
1,,12,1,Corning Glassworks,,,1931,1936,,,"1""",10,767,1151,384,770,771,1154,384,,
1,,12,2,"A. L. Cortie, S.J.",,,1902,1926,,,,11,20,63,43,21,22,64,43,,
1,,12,3,F. O. Cottrell,1919,,,,,,,11,64,82,18,65,66,83,18,,
1,,12,4,J. M. Coulter,,,1900,1917,,,".25""",11,83,123,40,84,85,124,40,,
1,,12,5,W. T. Councilman,1913,,,,,,,11,124,137,13,125,126,138,13,,
1,,12,6,Courier-Post Newspapers,1931,,,,,,,11,138,142,4,139,140,143,4,,
1,,12,7,John Cox,1903,,,,,,,11,143,146,3,144,145,147,3,,
1,,12,8,R. T. Crawford,,,1907,1909,,,,11,147,166,19,148,149,167,19,,
1,,12,9,Henry Crew,,,1900,1934,,,"1""",11,167,312,145,168,169,313,145,,
1,,12,10,Charles R. Cross,,,1900,1920,,,".25""",11,313,381,68,314,315,382,68,,
1,,12,11,Whitman Cross,,,1913,1916,,,".25""",11,382,430,48,383,384,431,48,,
1,,12,12,C. E. Crowley,1906,,,,,,,11,431,433,2,432,433,434,2,,
1,,12,13,William Crozier,,,1916,1917,,,,11,434,438,4,435,436,439,4,,
1,,12,14,H. D. Curtis,,,1902,1931,,,".25""",11,439,473,34,440,441,474,34,,
1,,12,15,Samuel I. Curtis,1903,,,,,,,11,474,482,8,475,476,483,8,,
1,,12,16,Charles W. Dabney,1932,,,,,,,11,483,493,10,484,485,494,10,,
1,,12,17,C. D. Daggett,,,1907,1920,,,,11,494,510,16,495,496,511,16,,
1,,12,18,Henry D. Dakin,1918,,,,,,,11,511,515,4,512,513,516,4,,
1,,12,19,M. Gaston Darboux,,,1912,1916,,,,11,516,558,42,517,518,559,42,,
1,,12,20,H. Z. Darrah,,,1902,1907,,,,11,559,584,25,560,561,585,25,,
1,,12,21,E. H. Darville,1926,,,,,,,11,585,597,12,586,587,598,12,,
1,,12,22,George Darwin,,,1908,1912,,,,11,598,604,6,599,600,605,6,,
1,,12,23,Horace Darwin,1917,,,,,,,11,605,615,10,606,607,616,10,,
1,,12,24,Charles B. Davenport,,,1903,1919,,,,11,616,630,14,617,618,631,14,,
1,,12,25,Herman S. Davis,,,1899,1900,,,,11,631,636,5,632,633,637,5,,
1,,13,1,W. M. Davis,,,1907,1934,,,"1""",11,637,768,131,638,639,769,131,,
1,,13,2,Arthur L. Day,,,1906,1935,,,"2""",11,769,1169,400,770,771,1170,400,,
1,,13,3,A. de la Baume-Pluvinel,,,1917,1928,,,,12,20,28,8,21,22,29,8,,
1,,13,4,Darragh de Lancey,,,1918,1920,,,,12,29,44,15,30,31,45,15,,
1,,13,5,Alfred P. Dennis,1916,,,,,,,12,45,50,5,46,47,51,5,,
1,,13,6,W. de Sitter,,,1921,1932,,,,12,51,65,14,52,53,66,14,,
1,,13,7,M. Henri Deslandres,1904,,,,,,,12,66,84,18,67,68,85,18,,
1,,13,8,Sir James Dewar,,,1909,1927,,,,12,85,102,17,86,87,103,17,,
1,,13,9,Donald R. Dickey,,,1918,1934,,,,12,103,139,36,104,105,140,36,,
1,,13,10,H. Diels,,,1913,1915,,,".25""",12,140,200,60,141,142,201,60,,
1,,13,11,David Dietz,1932,,,,,,,12,201,208,7,202,203,209,7,,
1,,13,12,Cleveland H. Dodge,,,1908,1919,,,,12,209,218,9,210,211,219,9,,
1,,13,13,H. H. Donaldson,,,1898,1933,,,"1""",12,219,360,141,220,221,361,141,,
1,,13,14,M. R. Dongier,,,1908,1909,,,,12,361,375,14,362,363,376,14,,
1,,13,15,A. E. Douglass,,,1899,1923,,,,12,376,381,5,377,378,382,5,,
1,,13,16,Gayton A. Douglass,,,1897,1909,,,,12,382,389,7,383,384,390,7,,
1,,13,17,Mrs. Henry Draper,,,1904,1914,,,,12,390,420,30,391,392,421,30,,
1,,13,18,N. C. Duner,,,,,,undated,,12,421,429,8,422,423,430,8,,
1,,14,1,"Theodore Dunham, Jr.",,,1931,1933,,,".25""",12,430,467,37,431,432,468,37,,
1,,14,2,Gano Dunn,,,1916,1946,,,"3.5""",12,468,1353,884,469,470,1353,884,,
1,,15,1,P. L. du Nouy,,,1917,1927,,,,13,20,31,11,21,22,32,11,,
1,,15,2,A. St. C. Dunstan,,,,,,undated,,13,32,34,2,33,34,35,2,,
1,,15,3,Pierre DuPont,1916,,,,,,,13,35,48,13,36,37,49,13,,
1,,15,4,W. F. Durand,,,1917,1919,,,".25""",13,49,98,49,50,51,99,49,,
1,,15,5,M. E. Durkheim,,,1916,1917,,,,13,99,110,11,100,101,111,11,,
1,,15,6,Sir F. W. Dyson,,,1901,1935,,,".25""",13,111,188,77,112,113,189,77,,
1,,15,7,E. M. East,1917,,,,,,,13,189,207,18,190,191,208,18,,
1,,15,8,George Eastman,,,1927,1933,,,,13,208,234,26,209,210,235,26,,
1,,15,9,Edward E. Eaton,,,1898,1904,,,".25""",13,235,309,74,236,237,310,74,,
1,,15,10,H. T. Eddy,,,1901,1912,,,,13,310,322,12,311,312,323,12,,
1,,15,11,Graham Edgar,1918,,,,,,,13,323,327,4,324,325,328,4,,
1,,15,12,Eglise de la Sorbonne,1912,,,,,,,13,328,330,2,329,330,331,2,,
1,,15,13,Albert Einstein,,,1926,1933,,,,13,331,367,36,332,333,368,36,,
1,,15,14,Sir John Eliot,1905,,,,,,,13,368,376,8,369,370,377,8,,
1,,15,15,Ferdinand Ellerman,,,1898,1927,,,,13,377,445,68,378,379,446,68,,
1,,15,16,Al Ellis,,,1928,1933,,,"1.25""",13,446,642,196,447,448,644,197,,
1,,15,17,J. W. Ellsworth,,,1922,1925,,,,13,643,672,29,645,646,674,29,,
1,,15,18,Pio Emmanuelli,1931,,,,,,,13,673,683,10,675,676,685,10,,
1,,15,19,Paul Epstein,,,1913,1934,,,,13,684,697,13,686,687,699,13,,
1,,15,20,Herbert M Evans,,,1919,1931,,,,13,698,710,12,700,701,712,12,,
1,,15,21,J. Evershed,,,1904,1937,,,".75""",13,711,793,82,713,714,795,82,,
1,,15,22,Charles Fabry,,,1904,1935,,,,13,794,822,28,796,797,824,28,,
1,,15,23,Faraday Celebrations,1831,,,,,,,13,823,840,17,825,826,842,17,,
1,,15,24,S. W. Farnsworth,,,1918,1919,,,,13,841,848,7,843,844,850,7,,
1,,16,1,Beatrix Farrand,,,1928,1934,,,".25""",13,849,907,58,851,852,911,60,,
1,,16,2,Max Farrand,,,1926,1936,,,".25""",13,908,965,57,912,913,969,57,,
1,,16,3,Arthur Farwell,,,1928,1932,,,,13,966,1016,50,970,971,1020,50,,
1,,16,4,M. Faye,1893,,,,,,,13,1017,1019,2,1021,1022,1023,2,,
1,,16,5,Rev. Julius Fenyi,1904,,,,,,,13,1020,1026,6,1024,1025,1030,6,,
1,,16,6,J. C. Fields,,,1919,1929,,,".25""",13,1027,1060,33,1031,1032,1064,33,,
1,,16,7,Finances,,,1921,1923,,,,13,1061,1074,13,1065,1066,1078,13,,
1,,16,8,H. A. Fischer,,,1902,1903,,,,13,1075,1082,7,1079,1080,1086,7,,
1,,16,9,Irving Fisher,1916,,,,,,,13,1083,1092,9,1087,1088,1096,9,,
1,,16,10,J. O. Fisher,1922,,,,,,,13,1093,1100,7,1097,1098,1104,7,,
1,,16,11,Dr. Martin H. Fischer,,,1906,1915,,,,13,1101,1113,11,1105,1106,1116,11,,
1,,16,12,Arthur H. Fleming,,,1908,1935,,,".75""",14,20,144,124,21,22,145,124,,
1,,16,13,John A. Fleming,,,1918,1931,,,,14,145,160,15,146,147,161,15,,
1,,16,14,Abraham Flexner,,,1917,1935,,,,14,161,170,9,162,163,171,9,,
1,,16,15,Simon Flexner,,,1915,1936,,,"1.25""",14,171,416,245,172,173,417,245,,
1,,16,16,Alfred D. Flinn,,,1918,1932,,,,14,417,460,43,418,419,461,43,,
1,,16,17,Tod Ford,,,1917,1920,,,,14,461,499,38,462,463,500,38,,
1,,17,1,A. Fowler,,,1907,1934,,,,14,500,534,34,501,502,535,34,,
1,,17,2,Philip Fox,,,1905,1935,,,".5""",14,535,615,80,536,537,616,80,,
1,,17,3,Otto Frank,1916,,,,,,,14,616,618,2,617,618,619,2,,
1,,17,4,F. H. Frankland,1919,,,,,,,14,619,621,2,620,621,622,2,,
1,,17,5,Maurice Frechet,1935,,,,,,,14,622,631,9,623,624,632,9,,
1,,17,6,E. E. Free,,,1924,1933,,,".25""",14,632,667,35,633,634,668,35,,
1,,17,7,John R. Freeman,,,1900,1922,,,,14,668,685,17,669,670,686,17,,
1,,17,8,Robert Freeman,,,1912,1927,,,,14,686,692,6,687,688,693,6,,
1,,17,9,Anna Friedrich,,,,,,undated,,14,693,696,3,694,695,697,3,,
1,,17,10,E. B. Frost,,,1898,1937,,,"2""",14,693,1125,431,698,699,1125,427,Item split between two folders,
1,,17,10,E. B. Frost,,,1898,1919,,,"1""",,,,,,,,,Item split between two folders,
1,,17,11,E. B. Frost,,,1921,1937,,,"1""",,,,,,,,,Item split between two folders,
1,,17,12,G. S. Fulcher,,,1919,1926,,,,15,20,55,35,21,22,56,35,,
1,,17,13,Henry Gale,,,1907,1932,,,,15,56,85,29,57,58,86,29,,
1,,17,14,J. R. Garfield,1918,,,,,,,15,86,101,15,87,88,102,15,,
1,,17,15,Jack Garrison,,,1919,1931,,,,15,102,257,155,103,104,258,155,,
1,,18,1,F. T. Gates,,,1901,1902,,,,15,258,260,2,259,260,261,2,,
1,,18,2,R. Gautier,1923,,,,,,,15,261,264,3,262,263,265,3,,
1,,18,3,Dr. J. Gehring,,,1911,1913,,,,15,265,272,7,266,267,273,7,,
1,,18,4,Sir Archibald Geikie,,,1912,1915,,,,15,273,291,18,274,275,292,18,,
1,,18,5,L. Gianetti,,,1916,1938,,,"1.25""",15,292,493,201,293,294,494,201,,
1,,18,6,W. S. Gifford,,,1917,1929,,,,15,494,509,15,495,496,510,15,,
1,,18,7,Walter M. Gilbert,,,1917,1929,,,".75""",15,510,607,97,511,512,608,97,,
1,,18,8,D. C. Gilman,,,1897,1902,,,,15,608,611,3,609,610,612,3,,
1,,18,9,G. L. Gilmore,,,1915,1930,,,,15,612,618,6,613,614,619,6,,
1,,18,10,Sir David Gill,,,1909,1930,,,".5""",15,619,676,57,620,621,677,57,,
1,,18,11,Dr. T. H. Gill,1914,,,,,,,15,677,683,6,678,679,684,6,,
1,,18,12,"Walter J. Gill, Jr.",,,1903,1904,,,,15,684,694,10,685,686,695,10,,
1,,18,13,Col. Glassford,,,1916,1917,,,,15,695,699,4,696,697,700,4,,
1,,18,14,Richard Glazebrook,1932,,,,,,,15,700,701,1,701,702,702,1,,
1,,18,15,R. H. Goddard,,,1918,1919,,,,15,702,710,8,703,704,711,8,,
1,,18,16,Joel Goldthwait,1917,,,,,,,15,711,718,7,712,713,719,7,,
1,,18,17,Bertram and Lydia Goodhue,,,1919,1928,,,"1""",15,719,924,205,720,721,926,206,,
1,,18,18,T. H. Goodspeed,1935,,,,,,".5""",15,925,967,42,927,928,969,42,,
1,,18,19,H. M. Goodwin,,,1907,1936,,,"1.5""",15,968,1480,512,970,971,1482,512,,
1,,18,20,Samuel Gompers,1918,,,,,,,15,1481,1483,2,1483,1484,1485,2,,
1,,18,21,Dr. I. Gottfried,1919,,,,,,,15,1484,1488,4,1486,1487,1490,4,,
1,,18,22,Charles W. Gould,1929,,,,,,,15,1489,1498,8,1491,1492,1504,13,,
1,,19,1,R. A. Gray,,,1932,1933,,,,16,20,27,7,21,22,28,7,,
1,,19,2,R. A. Gregory,,,1917,1936,,,,16,28,64,36,29,30,65,36,,
1,,19,3,Adm. Robert S. Griffin,,,1916,1917,,,,16,65,94,29,66,67,95,29,,
1,,19,4,C. Guillaume,1905,,,,,,,16,95,99,4,96,97,100,4,,
1,,19,5,Marie T. Guizonnier,1933,,,,,,,16,100,108,8,101,102,109,8,,
1,,19,6,Sir Robert Hadfield,,,1916,1936,,,,16,109,230,121,110,111,231,121,,
1,,19,7,Arthur T. Hadley,1919,,,,,,,16,231,237,6,232,233,238,6,,
1,,19,8,Dr. Arnold Hague,,,1902,1914,,,,16,238,397,159,239,240,398,159,,
1,,19,9,R. Haines,,,1915,1916,,,,16,398,406,8,399,400,407,8,,
1,,19,10,Hale Genealogy,1934,,,,,,,16,407,416,9,408,409,417,9,,
1,,19,11,George E. Hale II,,,1924,1936,,,,16,417,459,42,418,419,460,42,,
1,,19,12,George W. Hale,,,1897,1919,,,"1""",16,460,614,154,461,462,615,154,,
1,,19,13,Robert J. Hale,,,1916,1920,,,,16,615,630,15,616,617,631,15,,
1,,19,14,William B. Hale,,,1901,1909,,,"1.5""",16,631,854,222,632,633,860,228,,
1,,20,1,William B. Hale,,,1910,1938,,,"5.75""",17,20,1281,1260,21,22,1281,1260,Item split between two folders,
